epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,421.178,0.5118,0.96126,1,0.16034,0.00041675,0.00041675,0.00041675
2,838.881,0.10087,1,1,0.00172,0.000833337,0.000833337,0.000833337
3,1253.87,0.02182,1,1,0.00055,0.00123276,0.00123276,0.00123276
4,1669.09,0.01417,1,1,0.00027,0.00156798,0.00156798,0.00156798
5,2084.24,0.02303,1,1,0.00627,0.00153497,0.00153497,0.00153497
6,2499.36,0.01057,1,1,0.00087,0.00150197,0.00150197,0.00150197
7,2914.42,0.00275,1,1,5e-05,0.00146896,0.00146896,0.00146896
8,3329.4,0.00605,1,1,9e-05,0.00143595,0.00143595,0.00143595
9,3743.95,0.0124,1,1,0.00023,0.00140295,0.00140295,0.00140295
10,4158.77,0.01082,1,1,2e-05,0.00136994,0.00136994,0.00136994
11,4573.46,0.00332,1,1,0.00016,0.00133693,0.00133693,0.00133693
12,4988.51,0.00565,1,1,1e-05,0.00130393,0.00130393,0.00130393
13,5403.15,0.00277,1,1,2e-05,0.00127092,0.00127092,0.00127092
14,5818.57,0.00507,1,1,3e-05,0.00123791,0.00123791,0.00123791
15,6233.55,0.00958,1,1,2e-05,0.00120491,0.00120491,0.00120491
16,6648.47,0.00094,1,1,4e-05,0.0011719,0.0011719,0.0011719
17,7063.15,0.01322,1,1,0.00109,0.00113889,0.00113889,0.00113889
18,7477.96,0.00447,1,1,4e-05,0.00110589,0.00110589,0.00110589
19,7893.51,0.01065,1,1,0,0.00107288,0.00107288,0.00107288
20,8308.69,0.00899,1,1,0,0.00103987,0.00103987,0.00103987
21,8723.84,0.00709,1,1,1e-05,0.00100687,0.00100687,0.00100687
22,9139.4,0.00269,1,1,0,0.000973861,0.000973861,0.000973861
23,9555.24,0.00097,1,1,0,0.000940855,0.000940855,0.000940855
24,9971.25,0.00042,1,1,0,0.000907848,0.000907848,0.000907848
25,10387.1,0.04257,1,1,5e-05,0.000874842,0.000874842,0.000874842
26,10802.6,0.03091,1,1,0.00015,0.000841835,0.000841835,0.000841835
27,11218.3,0.003,1,1,0.00014,0.000808828,0.000808828,0.000808828
28,11633.8,0.00997,1,1,7e-05,0.000775822,0.000775822,0.000775822
29,12048.1,0.00374,1,1,5e-05,0.000742815,0.000742815,0.000742815
30,12463.3,0.00825,1,1,1e-05,0.000709809,0.000709809,0.000709809
31,12878.8,0.0011,1,1,0,0.000676802,0.000676802,0.000676802
32,13294.5,0.00158,1,1,1e-05,0.000643795,0.000643795,0.000643795
33,13710,0.00173,1,1,0,0.000610789,0.000610789,0.000610789
34,14126.2,0.00259,1,1,0,0.000577782,0.000577782,0.000577782
35,14542,0.00236,1,1,0,0.000544776,0.000544776,0.000544776
36,14957.5,0.00101,1,1,0,0.000511769,0.000511769,0.000511769
37,15372.6,0.00362,1,1,0,0.000478762,0.000478762,0.000478762
38,15788.9,0.00608,1,1,0,0.000445756,0.000445756,0.000445756
39,16203.8,0.00156,1,1,0,0.000412749,0.000412749,0.000412749
40,16619.6,0.00237,1,1,0,0.000379743,0.000379743,0.000379743
41,17035.4,0.00059,1,1,0,0.000346736,0.000346736,0.000346736
42,17450.5,0.00223,1,1,0,0.000313729,0.000313729,0.000313729
43,17866.4,0.00045,1,1,0,0.000280723,0.000280723,0.000280723
44,18282.1,0.00093,1,1,0,0.000247716,0.000247716,0.000247716
45,18697.8,0.00639,1,1,0,0.00021471,0.00021471,0.00021471
46,19114.3,0.00065,1,1,0,0.000181703,0.000181703,0.000181703
47,19529.8,0.0007,1,1,0,0.000148696,0.000148696,0.000148696
48,19945.7,0.00276,1,1,0,0.00011569,0.00011569,0.00011569
49,20360.3,0.00106,1,1,0,8.26832e-05,8.26832e-05,8.26832e-05
50,20776.7,0.00156,1,1,0,4.96766e-05,4.96766e-05,4.96766e-05
